Unnamed: 0,German,English
0,sie,she
1,das,the
2,ist,is
3,du,you
4,nicht,not
5,die,the
6,es,it
8,der,the
9,wir,we
10,was,What
11,zu,to
12,er,he
13,in,in
14,ja,Yes
15,mir,me
16,mit,with
17,wie,How
18,den,the
19,auf,on
20,dass,that
21,aber,but
22,eine,one
23,so,so
24,hat,has
25,hier,here
26,haben,have
27,für,for
28,sind,are
29,war,was
30,von,from
31,wenn,if
32,dich,you
33,ihr,her
34,nein,no
35,habe,have
36,an,at
37,bin,am
38,noch,still
39,da,there
40,dir,you
41,sich,itself
42,einen,a
43,uns,us
44,hast,have
45,dem,dem
46,kann,can
47,gut,good
48,auch,also
50,als,as
51,sein,be
52,mal,just
53,jetzt,now
54,ihn,him
55,dann,then
56,aus,out of
57,meine,mine
58,um,around
59,im,in the
60,wird,becomes
61,mein,my
62,bist,are
63,doch,but
64,alles,everything
65,weiß,white
66,keine,no
68,nach,after
69,s,S
70,nichts,nothing
71,man,man
72,muss,must
73,werden,become
74,will,want
75,ihnen,them
76,geht,goes
77,wo,where
78,etwas,something
79,oh,Oh
80,mehr,more
81,bei,at
82,also,so
83,bitte,please
84,immer,always
85,hab,have
86,warum,Why
87,vor,before
88,los,Come on
89,können,can
90,wieder,again
91,sagen,say
92,machen,make
93,sehr,very
94,alle,all
95,denn,because
96,mann,man
97,tun,do
98,ihm,him
99,zum,for the
100,gehen,go
101,sehen,see
103,einem,a
104,wer,who
105,ihre,her
106,diese,this
107,euch,you
108,einer,one
109,komm,come
110,über,above
111,gibt,gives
112,okay,OK
113,wissen,knowledge
114,deine,your
115,müssen,must
116,soll,should
117,werde,become
118,nie,never
119,wirklich,really
120,hey,hey
121,kein,no
122,viel,much
123,weg,away
124,würde,would
125,tut,does
126,am,at the
127,des,of
128,einfach,simply
129,leben,life
130,hatte,had
131,zeit,time
132,weil,because
133,willst,want
134,kommen,come
135,dein,your
136,heute,today
137,kommt,comes
138,wollen,want
139,damit,with it
140,ganz,quite
141,wäre,were
142,wollte,wanted
143,weißt,white
145,sicher,secure
146,gesagt,said
147,frau,woman
148,nun,so
149,bis,until
150,wurde,became
151,leid,sorrow
152,na,
153,kannst,can
154,macht,might
155,dieser,this
156,zurück,back
157,lassen,let
158,hallo,Hello
159,meinen,mean
160,gott,God
161,seine,his
162,hätte,would have
163,zwei,two
164,könnte,could
165,genau,Exactly
166,waren,were
167,zur,to
168,lass,let
169,klar,clear
170,morgen,morning
171,leute,people
172,vater,father
173,schön,nice
174,glaube,believe
175,mr.,mr.
176,ab,away
177,gerade,straight
178,tag,Day
179,gesehen,seen
180,reden,talk
181,wohl,probably
182,liebe,love
183,sollte,should
184,sagte,said
185,unsere,our
186,jemand,someone
187,geld,money
188,durch,through
189,ob,if
190,keinen,no
191,mutter,mother
192,raus,out
193,gemacht,made
194,paar,couple
195,mach,make
196,passiert,happened
197,dachte,thought
198,besser,better
199,musst,must
200,wieso,how come
201,sir,sir
202,dieses,this
204,gehört,heard
205,möchte,want
206,ohne,without
207,hör,listening
208,her,from
209,sag,say
210,meiner,mine
211,anderen,others
212,helfen,help
213,nacht,night
214,finden,find
215,diesen,this
216,gute,good
217,wirst,become
218,lange,long
219,natürlich,naturally
220,ach,Oh
221,meinem,my
222,gar,even
223,ins,into the
224,sei,be
225,dort,there
226,weiter,further
227,geben,give
228,seit,since
229,gleich,even
230,sagt,says
231,recht,right
232,ihren,your
233,richtig,correct
234,ordnung,order
235,vom,from the
236,hören,hear
237,sieht,sees
238,davon,of that
239,dafür,for that
240,geh,walk
241,diesem,this
242,wegen,because of
243,hause,home
244,sollten,should
245,mädchen,girl
246,hin,there
247,sollen,should
248,abend,evening
249,haus,a house
250,denke,think
251,viele,many
252,drei,three
253,deinen,yours
254,freund,friend
255,guten,good
256,unser,our
257,warte,wait
258,machst,do
259,menschen,people
260,essen,eat
261,angst,fear
262,bleiben,remain
263,zusammen,together
264,welt,world
265,unter,under
266,habt,have
267,schnell,fast
268,andere,other
269,tot,dead
270,getan,did
271,darf,may
272,erst,first
273,rein,pure
274,stimmt,true
275,nehmen,take
276,kinder,children
277,eines,one
278,glauben,believe
279,bringen,bring
280,ganze,whole
281,genug,enough
282,scheiße,Fuck
283,brauchen,need
284,gegen,against
285,moment,moment
286,junge,boy
288,sonst,otherwise
289,musik,music
290,arbeit,work
291,seid,are
292,ihrer,of their
293,fragen,questions
